ALL FINAL SCORES SINCE 2000
---------------------------
7,23
41,37
10,13
14,20
10,23
27,24
30,10
0,3
0,35
0,13
21,16
17,32
12,7
37,7
19,20
31,37
17,7
23,24
20,20
14,35
37,16
34,31
16,0
7,21
14,15
9,10
10,7
34,50
26,44
34,26
20,14
10,27
21,23
38,7
14,37
21,24
42,14
24,20
10,24
26,13
27,10
10,27
6,35
19,30
23,26
35,27
21,37
11,13
24,27
34,7
26,24
13,37
41,34
21,20
0,28
27,31
22,17
20,17
29,23
14,10
11,0
41,38
12,0
27,21
41,29
20,10
16,6
13,17
17,28
31,30
48,17
10,6
31,26
34,17
17,10
6,20
24,34
27,30
16,13
25,21
17,10
10,17
23,13
17,14
7,17
30,14
23,28
31,34
12,27
19,16
13,28
13,23
13,10
40,28
24,27
31,34
42,27
14,27
20,24
19,22
23,17
30,24
17,20
13,30
6,14
28,23
20,21
22,7
24,27
14,11
27,17
3,27
34,31
37,24
14,31
10,21
10,17
7,17
28,24
35,37
41,34
24,9
33,13
14,38
14,55
34,10
38,35
26,14
14,38
20,21
23,14
7,12
19,17
7,10
17,13
10,7
21,28
24,27
38,14
24,14
21,27
30,7
17,31
17,24
17,44
14,34
32,14
17,38
7,37
36,38
21,37
32,13
34,27
47,48
27,21
7,6
21,28
17,38
13,10
21,7
20,17
31,0
24,21
27,21
40,38
6,14
45,35
20,20
22,21
38,20
38,17
14,34
19,25
24,27
31,41
13,24
21,27
27,13
15,30
34,21
12,17
27,24
10,27
17,14
7,21
14,21
55,14
21,35
27,20
19,27
20,17
28,20
3,26
7,45
17,12
9,15
24,17
15,20
23,24
20,22
17,27
29,21
6,17
0,27
14,17
24,13
28,33
0,20
33,17
36,13
0,37
27,0
30,0
23,20
10,38
21,41
17,14
23,0
27,24
14,44
27,38
24,28
42,20
31,28
3,45
17,35
23,41
17,41
7,31
41,47
24,33
48,51
16,17
3,26
12,27
24,28
3,13
14,38
42,10
21,37
14,9
28,31
23,10
6,27
35,10
24,17
0,7
10,6
9,13
10,6
21,35
2,13
24,31
34,7
19,21
19,13
27,34
9,17
38,41
21,7
20,17
17,12
23,10
34,24
31,10
12,9
14,34
14,20
22,31
14,31
17,48
21,23
10,20
6,24
7,31
17,30
26,24
14,30
20,23
17,42
36,28
17,20
23,14
37,27
35,17
21,17
27,28
24,14
42,13
30,27
23,24
14,34
0,33
20,13
23,17
7,37
17,20
7,28
0,27
27,24
7,28
35,21
27,22
17,19
7,28
17,31
13,17
31,37
20,27
9,7
23,43
24,14
17,21
14,31
20,30
14,30
17,23
22,20
14,24
23,38
34,33
21,17
9,38
6,20
10,42
7,44
28,26
0,21
29,28
10,20
24,14
21,9
24,34
14,17
26,10
30,33
5,14
17,31
6,10
23,14
24,27
27,30
36,28
28,21
27,10
12,33
0,20
13,16
20,12
17,38
30,28
28,7
3,13
17,16
31,7
31,35
17,16
7,20
27,17
34,28
14,28
31,20
35,7
31,10
28,31
21,38
14,20
14,34
10,28
7,16
24,20
20,23
19,7
20,17
28,10
13,31
7,13
14,17
44,9
9,12
37,7
16,14
7,28
44,24
27,30
10,24
16,17
44,37
30,24
34,21
24,26
24,10
10,35
7,38
31,13
22,19
9,41
3,22
